lr,optim,scheduler,seed
2.159695907639725e-05,adam,none,209652396
0.0004608055898405,SGD,warmup_decay_cos,209652396
0.0102107846801502,adamw,warmup,209652396
1.0606042052598616e-06,SGD,warmup,209652396
8.746055114491652e-06,adamw,warmup_decay_cos,209652396
0.0843307160633636,SGD,none,209652396
0.0041344882578891,adamw,warmup_decay_cos,209652396
0.0001940554482365,adam,warmup,209652396
9.926905056006002e-05,adamw,warmup_decay_cos,209652396
0.0021091638624559,SGD,warmup,209652396
0.0469252406393536,adam,warmup_decay_cos,209652396
4.853636935609901e-06,SGD,none,209652396
2.2809928484902035e-06,adam,none,209652396
0.0220247114982629,adam,warmup,209652396
0.0010784800544117,adamw,none,209652396
5.069021732252347e-05,SGD,warmup_decay_cos,209652396
7.372368988493825e-05,adamw,warmup,209652396
0.0007625530759356,SGD,warmup_decay_cos,209652396
0.0155087015525835,adamw,none,209652396
3.295105764364607e-06,adam,warmup_decay_cos,209652396
7.220900674860198e-06,adam,warmup,209652396
0.0339395390757172,adam,none,209652396
0.0015186724618976,adamw,warmup_decay_cos,209652396
0.0001466385600834,SGD,none,209652396
0.0002882967276028,adamw,warmup_decay_cos,209652396
0.00030918939292622457,adamw,warmup_decay_cos,209652396
0.0003098640441392316,adamw,warmup_decay_cos,209652396
0.00032628211902969827,adamw,warmup_decay_cos,209652396
0.00028083316821636003,adamw,warmup_decay_cos,209652396
0.0003226337654440603,adamw,warmup_decay_cos,209652396
0.0002514838326797388,adamw,warmup_decay_cos,209652396
0.0003270339190202609,adamw,warmup_decay_cos,209652396
0.00029984165171751195,adamw,warmup_decay_cos,209652396
0.00026635418670297486,adamw,warmup_decay_cos,209652396
0.000316158505731021,adamw,warmup_decay_cos,209652396
0.00025272345694739333,adamw,warmup_decay_cos,209652396
0.0003132385635215949,adamw,warmup_decay_cos,209652396
0.00031414792039239286,adamw,warmup_decay_cos,209652396
0.0002758233228791444,adamw,warmup_decay_cos,209652396
3.7769545138788986e-05,adam,warmup,209652396
